///epoch 50 learning rate 1e-4 batch size 64 max_dataset size 10000

Epoch 1/50, Train Loss: 2.4006, Train Accuracy: 0.0928, Validation Loss: 2.3949, Validation Accuracy: 0.0941
Epoch 2/50, Train Loss: 2.3970, Train Accuracy: 0.0931, Validation Loss: 2.3932, Validation Accuracy: 0.0941
Epoch 3/50, Train Loss: 2.3955, Train Accuracy: 0.0886, Validation Loss: 2.3916, Validation Accuracy: 0.0941
Epoch 4/50, Train Loss: 2.3941, Train Accuracy: 0.0913, Validation Loss: 2.3915, Validation Accuracy: 0.0941
Epoch 5/50, Train Loss: 2.3940, Train Accuracy: 0.0883, Validation Loss: 2.3917, Validation Accuracy: 0.0941


Epoch 1/25, Train Loss: 2.0972, Train Accuracy: 0.2344, Validation Loss: 2.0996, Validation Accuracy: 0.2422
Epoch 2/25, Train Loss: 2.0890, Train Accuracy: 0.2447, Validation Loss: 2.0889, Validation Accuracy: 0.2327
Epoch 3/25, Train Loss: 2.0876, Train Accuracy: 0.2354, Validation Loss: 2.0845, Validation Accuracy: 0.2422
Epoch 4/25, Train Loss: 2.0870, Train Accuracy: 0.2382, Validation Loss: 2.0849, Validation Accuracy: 0.2422
Epoch 5/25, Train Loss: 2.0875, Train Accuracy: 0.2365, Validation Loss: 2.0841, Validation Accuracy: 0.2422
Epoch 1/10, Train Loss: 1.7014, Train Accuracy: 0.3423, Validation Loss: 1.4510, Validation Accuracy: 0.3807
Epoch 2/10, Train Loss: 1.2737, Train Accuracy: 0.4387, Validation Loss: 1.0630, Validation Accuracy: 0.5444
Epoch 3/10, Train Loss: 0.8891, Train Accuracy: 0.6264, Validation Loss: 0.7222, Validation Accuracy: 0.6600
Epoch 4/10, Train Loss: 0.4632, Train Accuracy: 0.8291, Validation Loss: 0.6024, Validation Accuracy: 0.8089
Epoch 5/10, Train Loss: 0.2170, Train Accuracy: 0.9344, Validation Loss: 0.1587, Validation Accuracy: 0.9504
Epoch 6/10, Train Loss: 0.1264, Train Accuracy: 0.9650, Validation Loss: 0.1266, Validation Accuracy: 0.9563
Epoch 7/10, Train Loss: 0.1183, Train Accuracy: 0.9642, Validation Loss: 0.1122, Validation Accuracy: 0.9674
Epoch 8/10, Train Loss: 0.0930, Train Accuracy: 0.9761, Validation Loss: 0.0868, Validation Accuracy: 0.9719
Epoch 9/10, Train Loss: 0.0599, Train Accuracy: 0.9833, Validation Loss: 0.1810, Validation Accuracy: 0.9459
Epoch 10/10, Train Loss: 0.0621, Train Accuracy: 0.9848, Validation Loss: 0.1278, Validation Accuracy: 0.9622
